0
//==============================================================================||
//	Event Start Schedules							||
//==============================================================================||
//										||
// [0]		: Tempo corrido para o registro do evento (Minutos)		||
// [1]		: Tempo total do evento	 (Minutos)				||
// [2]		: Tempo para finalizar o evento (Minutos)			||
//										||
//==============================================================================||
//	[0]		[1]		[2]					||
//==============================================================================||
	5		15		1
end


1
//======================================================================================||
//	Exp Reward									||
//======================================================================================||
//											||
// [0]			: Devil Square Level						||
// [1~19 (Impars)]	: Exp Obtida por ranking, sendo [1] Rank 1, e [19] Rank 10	||
// [2~20 (Pars)]	: Money Obtida por ranking, sendo [2] Rank 1, e [20] Rank 10	||
//											||
//==============================================================================================================================================================================================================================================================||
//	[0]	[1]	[2]		[3]	[4]		[5]	[6]		[7]	[8]		[9]	[10]		[11]	[12]		[13]	[14]		[15]	[16]		[17]	[18]		[19]	[20]		||
//==============================================================================================================================================================================================================================================================||
	0	6000	30000		4000	25000		4000	25000		2000	20000		2000	20000		2000	20000		1000	15000		1000	15000		1000	15000		1000	15000
	1	8000	40000		6000	35000		6000	35000		4000	30000		4000	30000		4000	30000		2000	25000		2000	25000		2000	25000		2000	25000
	2	10000	50000		8000	45000		8000	45000		6000	40000		6000	40000		6000	40000		4000	35000		4000	35000		4000	35000		4000	35000
	3	20000	60000		10000	55000		10000	55000		8000	50000		8000	50000		8000	50000		6000	45000		6000	45000		6000	45000		6000	45000
	4	22000	70000		20000	65000		20000	65000		10000	60000		10000	60000		10000	60000		8000	55000		8000	55000		8000	55000		8000	55000
	5	24000	80000		22000	75000		22000	75000		20000	70000		20000	70000		20000	70000		10000	65000		10000	65000		10000	65000		10000	65000
	6	26000	150000		24000	140000		24000	140000		22000	120000		22000	120000		22000	120000		20000	90000		20000	90000		20000	90000		20000	90000
end

2
//==============================================================================||
//	Schedules Manager							||
//==============================================================================||
//										||
// [0]		: Dia da Semana							||
// [1]		: Hora								||
// [2]		: Minuto							||
// [3]		: Segundo							||
//										||
//==============================================================================||
//	[0]		[1]		[2]		[3]			||
//==============================================================================||
	-1		1		0		0
	-1		1		30		0
	-1		2		0		0
	-1		2		30		0
	-1		3		0		0
	-1		3		30		0
	-1		4		0		0
	-1		4		30		0
	-1		5		0		0
	-1		5		30		0
	-1		6		0		0
	-1		6		30		0
	-1		7		0		0
	-1		7		30		0
	-1		8		0		0
	-1		8		30		0
	-1		9		0		0
	-1		9		30		0
	-1		10		0		0
	-1		10		30		0
	-1		11		0		0
	-1		11		30		0
	-1		12		0		0
	-1		12		30		0
	-1		13		0		0
	-1		13		30		0
	-1		14		0		0
	-1		14		30		0
	-1		15		0		0
	-1		15		30		0
	-1		16		0		0
	-1		16		30		0
	-1		17		0		0
	-1		17		30		0
	-1		18		0		0
	-1		18		30		0
	-1		19		0		0
	-1		19		30		0
	-1		20		0		0
	-1		20		30		0
	-1		21		0		0
	-1		21		30		0
	-1		22		0		0
	-1		22		30		0
	-1		23		0		0
	-1		23		30		0
	-1		0		0		0
	-1		0		30		0
end

